k,kprob
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,3.066666666666666430e-01
5.000000000000000000e+00,2.066666666666666652e-01
6.000000000000000000e+00,1.266666666666666774e-01
7.000000000000000000e+00,1.000000000000000056e-01
8.000000000000000000e+00,4.000000000000000083e-02
9.000000000000000000e+00,2.000000000000000042e-02
1.000000000000000000e+01,6.666666666666667095e-03
1.100000000000000000e+01,2.666666666666666838e-02
1.200000000000000000e+01,1.333333333333333419e-02
1.300000000000000000e+01,1.333333333333333419e-02
1.400000000000000000e+01,2.666666666666666838e-02
1.500000000000000000e+01,0.000000000000000000e+00
1.600000000000000000e+01,4.000000000000000083e-02
1.700000000000000000e+01,1.333333333333333419e-02
1.800000000000000000e+01,6.666666666666667095e-03
1.900000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+01,6.666666666666667095e-03
2.100000000000000000e+01,6.666666666666667095e-03
2.200000000000000000e+01,6.666666666666667095e-03
2.300000000000000000e+01,0.000000000000000000e+00
2.400000000000000000e+01,6.666666666666667095e-03
2.500000000000000000e+01,0.000000000000000000e+00
2.600000000000000000e+01,0.000000000000000000e+00
2.700000000000000000e+01,0.000000000000000000e+00
2.800000000000000000e+01,0.000000000000000000e+00
2.900000000000000000e+01,1.333333333333333419e-02
3.000000000000000000e+01,0.000000000000000000e+00
3.100000000000000000e+01,0.000000000000000000e+00
3.200000000000000000e+01,0.000000000000000000e+00
3.300000000000000000e+01,0.000000000000000000e+00
3.400000000000000000e+01,0.000000000000000000e+00
3.500000000000000000e+01,0.000000000000000000e+00
3.600000000000000000e+01,0.000000000000000000e+00
3.700000000000000000e+01,0.000000000000000000e+00
3.800000000000000000e+01,0.000000000000000000e+00
3.900000000000000000e+01,0.000000000000000000e+00
4.000000000000000000e+01,0.000000000000000000e+00
4.100000000000000000e+01,1.333333333333333419e-02
N = 150
