k,kprob
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,6.884422110552763652e-01
2.000000000000000000e+00,1.407035175879396971e-01
3.000000000000000000e+00,6.030150753768843963e-02
4.000000000000000000e+00,2.512562814070351883e-02
5.000000000000000000e+00,2.512562814070351883e-02
6.000000000000000000e+00,2.010050251256281437e-02
7.000000000000000000e+00,5.025125628140703592e-03
8.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,1.005025125628140718e-02
1.000000000000000000e+01,1.507537688442210991e-02
1.100000000000000000e+01,0.000000000000000000e+00
1.200000000000000000e+01,0.000000000000000000e+00
1.300000000000000000e+01,0.000000000000000000e+00
1.400000000000000000e+01,0.000000000000000000e+00
1.500000000000000000e+01,0.000000000000000000e+00
1.600000000000000000e+01,0.000000000000000000e+00
1.700000000000000000e+01,0.000000000000000000e+00
1.800000000000000000e+01,0.000000000000000000e+00
1.900000000000000000e+01,5.025125628140703592e-03
2.000000000000000000e+01,0.000000000000000000e+00
2.100000000000000000e+01,0.000000000000000000e+00
2.200000000000000000e+01,0.000000000000000000e+00
2.300000000000000000e+01,0.000000000000000000e+00
2.400000000000000000e+01,5.025125628140703592e-03
N = 100
